index,w_0x00,w_0x14,w_0x18,w_0x1C,w_0x20,w_0x24,w_0x28,w_0x2C,w_0x40,w_0x48,w_0x4C,w_0x50,w_0x54,w_0x58,w_0x5C,w_0x64,w_0x68,w_0x6C,d_0x00,d_0x18,d_0x1C,d_0x20,d_0x24,d_0x28,d_0x2C,d_0x40,d_0x48,d_0x4C,d_0x58,d_0x64
19,0,500,65535,0,2,0,0,0,20,960,0,0,0,0,241,213,100,0,0,65535,0,2,0,0,0,20,960,0,0,213
20,0,65535,0,65535,72,0,0,0,65506,384,768,385,0,245,246,0,0,1,0,0,4294967295,72,0,0,0,4294967266,384,768,245,0
21,1,0,11,18,0,0,0,0,192,0,0,0,273,274,383,0,0,1,1,11,18,0,0,0,0,192,0,0,274,0
22,52,65535,18,0,0,0,0,0,2816,0,0,249,250,341,97,0,1,105,52,18,0,0,0,0,0,2816,0,0,341,0
23,1,9,0,0,6,22,0,0,4480,9,269,270,554,121,0,1,20,1,1,0,0,6,22,0,0,4480,9,269,121,1
24,300,0,0,0,0,0,0,15,0,277,278,298,96,0,0,40,0,300,300,0,0,0,0,0,15,0,277,278,0,40
25,65535,0,0,0,0,0,25,65506,0,286,298,96,0,0,1,0,400,65535,65535,0,0,0,0,25,4294967266,0,286,298,0,0
26,0,0,0,0,0,35,65506,1280,289,298,96,0,0,1,55,500,65535,0,0,0,0,0,35,4294967266,1280,289,298,96,1,500
27,0,22,0,0,10,65506,512,3200,0,121,0,0,1,20,1,65535,1,0,0,0,0,10,4294967266,512,3200,0,121,0,20,65535
28,1,0,0,10,65506,512,11520,2048,255,0,0,0,30,1,200,4,9,0,1,0,10,4294967266,512,11520,2048,255,0,0,1,4
29,0,0,25,65506,1280,0,0,0,96,0,1,40,0,300,65535,5,1,0,0,25,4294967266,1280,0,0,0,96,0,1,300,5
30,0,20,65506,640,11520,2048,495,4,0,1,90,0,250,65535,4,9,0,0,0,4294967266,640,11520,2048,495,4,0,1,90,65535,9
31,0,65506,640,3840,0,0,0,413,0,20,0,300,65535,4,6,0,0,0,0,640,3840,0,0,0,413,0,20,0,4,0
32,0,64,3840,0,0,0,433,434,1,0,50,65535,0,0,1,0,8,77,0,3840,0,0,0,433,434,1,0,50,0,0
33,0,9600,2560,660,4,0,0,298,32,200,65535,4,13,10,0,1,22,0,0,2560,660,4,0,0,298,32,200,65535,10,1
34,0,4480,660,21,0,0,1066,124,0,65535,4,65535,0,0,0,0,0,0,0,660,21,0,0,1066,124,0,65535,4,0,0
35,3,0,0,0,0,0,96,1,0,0,65535,1,0,0,0,0,0,0,3,0,0,0,0,96,1,0,0,4294967295,0,0
36,65506,0,0,0,213,96,1,0,65535,15,10,0,0,0,0,0,8,65506,4294967266,0,0,213,96,1,0,65535,15,10,0,0
37,640,0,0,319,97,0,0,1,4,0,0,0,0,0,0,10,65506,640,640,0,319,97,0,0,1,4,0,0,0,10
38,0,0,554,4,0,0,1,52,65535,0,0,3,18,0,0,65506,0,3840,0,554,4,0,0,1,52,4294967295,0,0,0,4294967266
39,5120,2133,120,0,1,1,80,0,18,0,0,0,1,0,15,192,2816,0,5120,120,0,1,1,80,0,18,0,0,0,192
40,0,1,0,0,1,52,1,50,0,8,99,0,0,25,65506,4096,960,82,0,0,0,1,52,1,50,0,8,99,25,4096
41,150,0,0,1,80,1,500,65535,0,0,0,0,10,65506,512,0,0,0,150,0,1,80,1,500,65535,0,0,0,4294967266,0
42,0,0,1,30,0,200,65535,1,8,0,0,10,65506,512,7168,495,4,0,0,1,30,0,200,65535,1,8,0,0,512,495
43,0,0,30,1,200,65535,4,18,77,0,10,65506,512,7168,2048,4,0,0,0,30,1,200,65535,4,18,77,0,10,7168,4
44,170,30,1,200,65535,0,18,4,0,15,65506,512,6400,2048,495,0,0,341,170,1,200,327679,0,18,4,0,15,4294967266,2048,0
45,104,0,200,65535,1,18,1,0,0,65506,512,7168,2048,495,4,0,170,104,104,200,65535,1,18,1,0,0,4294967266,512,495,0
46,0,200,65535,4,65535,0,0,0,0,0,2560,0,0,0,0,0,0,1,0,65535,4,4294967295,0,0,0,0,0,2560,0,0
47,0,65535,0,19,0,0,0,0,15,0,0,0,0,0,0,98,0,0,0,0,19,0,0,0,0,15,0,0,0,98
48,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0
49,100,25,0,0,0,0,0,0,0,0,0,0,0,2,68,0,1,100,100,0,0,0,0,0,0,0,0,0,2,0
50,1,0,0,0,0,0,0,0,0,0,0,0,2,100,0,1,1,1,1,0,0,0,0,0,0,0,0,0,100,1
51,240,0,0,0,0,0,0,35,0,0,0,2,100,0,0,1,1,240,240,0,0,0,0,0,35,0,0,0,0,1
52,75,0,0,0,0,1638,0,48,0,0,2,64,0,0,1,0,240,76,75,0,0,0,1638,0,48,0,0,2,0,0
53,2,0,0,0,1638,0,48,0,0,2,66,0,0,1,1,240,76,2,2,0,0,1638,0,48,0,0,2,66,1,240
54,65535,0,1,0,3,65506,128,2560,0,1,0,0,1,75,1,65535,0,18,4294967295,1,0,3,4294967266,128,2560,0,1,0,75,65535
55,0,0,0,0,65506,0,0,0,2,0,0,1,0,0,400,0,18,0,0,0,0,4294967266,0,0,0,2,0,0,0,0
56,0,0,0,65506,0,0,0,0,96,0,1,0,0,240,64,22,0,0,0,0,4294967266,0,0,0,0,96,0,1,240,22
57,0,2,65506,896,3840,0,0,0,0,1,52,1,240,64,4,0,0,0,0,4294967266,896,3840,0,0,0,0,1,52,131136,0
58,0,65506,896,3840,0,0,0,0,0,52,0,240,64,4,65535,0,0,4,0,896,3840,0,0,0,0,0,52,0,4,0
59,44,320,7168,3072,495,21,0,0,1,1,200,65535,0,65535,0,4096,0,0,44,7168,3072,495,21,0,0,1,1,200,4294967295,4096
60,1,2816,0,0,0,0,0,191,140,10,65535,0,65535,13,0,0,0,0,1,0,0,0,0,0,191,140,10,65535,13,0
61,0,0,0,0,0,0,298,65,0,65535,0,17,0,0,0,0,0,0,0,0,0,0,0,298,65,0,65535,0,0,0
62,10,0,0,176,177,63,38,0,200,0,18,0,40,0,0,0,3276,40,10,0,176,177,63,38,0,200,0,18,0,0
63,36,0,0,0,2,96,0,0,65535,18,0,0,0,0,0,4096,40,90,36,0,0,2,96,0,0,65535,18,0,0,4096
64,0,0,0,213,100,0,0,1,1,72,0,0,0,0,0,3,65506,0,0,0,213,100,0,0,1,1,72,0,0,3
65,512,246,2184,0,0,1,1,70,65535,0,0,0,0,0,0,65506,0,3072,512,2184,0,0,1,1,70,4294967295,0,0,0,4294967266
66,3200,2184,0,0,1,2,80,1,9,0,0,0,0,0,15,512,3200,0,3200,0,0,1,2,80,1,9,0,0,0,512
67,0,97,0,0,1,20,1,300,0,0,0,0,0,20,65506,3200,0,0,0,0,0,1,20,1,300,0,0,0,20,3200
68,0,0,0,1,85,1,300,65535,0,22,0,0,15,65506,640,4480,495,21,0,0,1,85,1,300,65535,0,22,0,4294967266,4480
69,0,0,1,20,1,300,65535,4,0,0,0,0,90,640,512,0,0,0,0,1,20,1,300,65535,4,0,0,0,640,0
70,0,1,85,0,0,65535,0,65535,0,0,0,120,640,512,0,0,0,0,0,85,0,0,65535,0,4294967295,0,0,0,512,0
71,51,85,0,0,65535,0,65535,0,0,1,24,640,0,0,0,0,0,63,51,0,0,65535,0,4294967295,0,0,1,24,0,0
72,36,1,200,65535,0,65535,0,0,1638,36,896,0,0,0,0,0,63,36,36,200,65535,0,4294967295,0,0,1638,36,896,0,0
73,0,300,65535,0,65535,0,0,0,9,896,0,10240,357,0,0,8,34,0,0,65535,0,4294967295,0,0,0,9,896,0,0,8
74,1,65535,0,65535,0,0,0,0,65506,1920,0,0,0,0,0,96,1,0,1,0,4294967295,0,0,0,0,4294967266,1920,0,0,96
75,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4294967295,0,0,0,0,0,0,0,0,0,0
76,10,65535,0,0,0,0,0,0,0,0,0,0,0,2,68,0,1,10,10,0,0,0,0,0,0,0,0,0,2,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,1
78,0,0,0,0,0,0,0,3,1375,0,0,2184,0,0,1,80,1,10,0,0,0,0,0,0,3,1375,0,0,0,80
79,65535,3,4,1,2,2,4,2,2,2,2,2,2,3,1,2,4,2,65535,4,1,2,2,4,2,2,2,2,3,2
80,2,4,2,2,4,2,1,1,2,4,4,2,4,1,3,6,3,3,2,2,2,4,2,1,1,2,4,4,1,6
81,6,2,2,4,1,2,2,3,2,7,7,7,7,1,1,6,2,1,6,2,4,1,2,2,3,2,7,7,1,6
