function,address,source_file,category,context,tags,attributes
FUN_00000af8,0x00000af8,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""36""}"
FUN_00000b30,0x00000b30,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""216""}"
FUN_00000b30,0xb30,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00000b38,0x00000b38,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001ef54,,"{""degree"": ""1"", ""in"": ""0"", ""out"": ""1"", ""size"": ""384""}"
FUN_00000b38,0xb38,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00000bd4,0x00000bd4,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""104""}"
FUN_00000c08,0x00000c08,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""464""}"
FUN_00000c60,0x00000c60,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""680""}"
FUN_00000ca8,0x00000ca8,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""92""}"
FUN_00000dd8,0x00000dd8,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""328""}"
FUN_00000e04,0x00000e04,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1016""}"
FUN_00000e04,0xe04,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""4""}"
FUN_00000f20,0x00000f20,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""160""}"
FUN_00000f30,0x00000f30,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""412""}"
FUN_00000fc0,0x00000fc0,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""120""}"
FUN_00000fc4,0x00000fc4,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0000edc8,,"{""degree"": ""1"", ""in"": ""0"", ""out"": ""1"", ""size"": ""180""}"
FUN_000010b4,0x10b4,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""2""}"
FUN_000010b8,0x000010b8,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""3020""}"
FUN_000010b8,0x10b8,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`iVar4 = *(int *)(iVar7 + 0x54);`"", ""Line"": ""143""}"
FUN_000010b8,0x10b8,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_000010b8,0x10b8,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""0""}"
FUN_000010cc,0x000010cc,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""444""}"
FUN_000010cc,0x10cc,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00001160,0x00001160,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""108""}"
FUN_000011d0,0x11d0,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""4""}"
FUN_000011d0,0x11d0,exports/vertical_flag_set_clear_patterns.md,vertical,Flag set/clear pattern analysis (+0x24 / +0x8c) / Detailed Writes,,"{""Class"": ""other"", ""Line"": ""59"", ""Offset"": ""0x24"", ""ValueExpr"": ""`local_14`""}"
FUN_000011d0,0x11d0,exports/vertical_flag_usage.md,vertical,Vertical flag (+0x24 / +0x8c) usage,,"{""Kind"": ""write"", ""Line"": ""59"", ""Source"": ""`*(undefined4 *)(param_1 + 0x24) = local_14;`""}"
FUN_000011fc,0x11fc,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00001228,0x00001228,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""88""}"
FUN_00001280,0x00001280,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""384""}"
FUN_00001288,0x00001288,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""560""}"
FUN_000012fc,0x000012fc,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""308""}"
FUN_00001430,0x00001430,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""980""}"
FUN_000014b8,0x14b8,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_000014d4,0x000014d4,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""76""}"
FUN_00001604,0x00001604,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""328""}"
FUN_00001640,0x00001640,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""648""}"
FUN_00001650,0x00001650,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1156""}"
FUN_00001650,0x1650,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00001868,0x00001868,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Seed neighborhoods (2 hops) / FUN_00001868,"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""96""}"
FUN_000018c8,0x000018c8,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1048""}"
FUN_000018c8,0x18c8,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""6""}"
FUN_00001948,0x00001948,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""344""}"
FUN_00001998,0x00001998,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""624""}"
FUN_00001998,0x1998,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`*(uint *)(iVar3 + 0x50) = *(uint *)(iVar3 + 0x50) \\"", ""Line"": ""40""}"
FUN_00001998,0x1998,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""2""}"
FUN_00001998,0x1998,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_00001ad4,0x00001ad4,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""460""}"
FUN_00001b68,0x00001b68,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""996""}"
FUN_00001c38,0x00001c38,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""428""}"
FUN_00001c84,0x00001c84,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""6844""}"
FUN_00001c84,0x1c84,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`(**(code **)(*(int *)(iVar10 + 4) + 0x4c))`"", ""Line"": ""325""}"
FUN_00001c84,0x1c84,exports/vertical_amplitude_vertical_intersection.md,vertical,Functions touching both amplitude and vertical core fields,,{}
FUN_00001c84,0x1c84,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""8""}"
FUN_00001c84,0x1c84,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""1"", ""Families"": ""progress""}"
FUN_00001c84,0x1c84,exports/vertical_offset_0x88_usage.md,vertical,Usage of offset +0x88 in secondary vertical context,,"{""Class"": ""unknown"", ""Code"": ""`(iVar8 + *(short *)(*(int *)(iVar8 + 4) + 0x88));`"", ""Line"": ""416""}"
FUN_00001c84,0x1c84,exports/vertical_writer_functions.md,vertical,Vertical Writer Function Dossier / FUN_00001c84 @ 0x1c84,,"{""source"": ""heading""}"
FUN_00001cf4,0x00001cf4,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""368""}"
FUN_00001f24,0x00001f24,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""144""}"
FUN_00001f4c,0x00001f4c,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""532""}"
FUN_00001f4c,0x1f4c,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`func_0x000cce8c(0x106,0,sVar1 + 0xc0,sVar2 + 0x50,iVar3,0,0,0);`"", ""Line"": ""28""}"
FUN_00001f4c,0x1f4c,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""0""}"
FUN_00001f9c,0x00001f9c,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""340""}"
FUN_00001f9c,0x1f9c,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""3""}"
FUN_00001fe0,0x00001fe0,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""108""}"
FUN_00001ff4,0x00001ff4,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""876""}"
FUN_00001ff4,0x1ff4,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""6""}"
FUN_000020fc,0x20fc,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_0000213c,0x0000213c,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""316""}"
FUN_00002160,0x00002160,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1912""}"
FUN_00002258,0x00002258,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""760""}"
FUN_00002278,0x00002278,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""308""}"
FUN_00002360,0x00002360,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""652""}"
FUN_00002360,0x2360,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_000023ac,0x000023ac,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""332""}"
FUN_000026f4,0x000026f4,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001ef54,,"{""degree"": ""4"", ""in"": ""0"", ""out"": ""4"", ""size"": ""324""}"
FUN_00002700,0x00002700,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""108""}"
FUN_00002724,0x00002724,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""3220""}"
FUN_00002724,0x2724,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`if ((((iVar9 == 0) \\"", ""Line"": ""68""}"
FUN_00002724,0x2724,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""4""}"
FUN_00002724,0x2724,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""0""}"
FUN_0000276c,0x0000276c,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""400""}"
FUN_0000292c,0x0000292c,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001ef54,,"{""degree"": ""6"", ""in"": ""0"", ""out"": ""6"", ""size"": ""272""}"
FUN_0000293c,0x0000293c,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1444""}"
FUN_00002b10,0x00002b10,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1004""}"
FUN_00002c5c,0x00002c5c,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""216""}"
FUN_00002ca0,0x2ca0,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00002ca0,0x2ca0,exports/vertical_bank_population_filtered.md,vertical,Filtered low-offset bank population candidates (with emit funcs present),,"{""storeCount"": ""1""}"
FUN_00002ca0,0x2ca0,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""step_scale""}"
FUN_00002d34,0x00002d34,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""640""}"
FUN_00002d34,0x2d34,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_00002e74,0x00002e74,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001cc08,,"{""degree"": ""2"", ""in"": ""0"", ""out"": ""2"", ""size"": ""192""}"
FUN_00002f34,0x00002f34,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001cc08,,"{""degree"": ""5"", ""in"": ""0"", ""out"": ""5"", ""size"": ""1272""}"
FUN_00002f34,0x2f34,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`(iVar9,uVar11 + *(int *)(uVar11 + 0x40) * 8 + 0x4c);`"", ""Line"": ""96""}"
FUN_00002f34,0x2f34,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00002fb4,0x00002fb4,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""712""}"
FUN_00002fb4,0x2fb4,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_000030b0,0x000030b0,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1264""}"
FUN_000031d8,0x000031d8,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""2492""}"
FUN_000031d8,0x31d8,vertical_block_map.md,vertical,Vertical Block Map (iVar8 + offsets) / FUN_000031d8 (0x31d8),,"{""source"": ""heading""}"
FUN_0000327c,0x0000327c,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1036""}"
FUN_0000327c,0x327c,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_00003454,0x3454,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""3""}"
FUN_00003454,0x3454,exports/vertical_flag_set_clear_patterns.md,vertical,Flag set/clear pattern analysis (+0x24 / +0x8c) / Detailed Writes,,"{""Class"": ""other"", ""Line"": ""74"", ""Offset"": ""0x24"", ""ValueExpr"": ""`local_14`""}"
FUN_00003454,0x3454,exports/vertical_flag_usage.md,vertical,Vertical flag (+0x24 / +0x8c) usage,,"{""Kind"": ""write"", ""Line"": ""74"", ""Source"": ""`*(undefined4 *)(param_1 + 0x24) = local_14;`""}"
FUN_000034dc,0x000034dc,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""552""}"
FUN_00003770,0x00003770,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""1148""}"
FUN_00003770,0x3770,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""2""}"
FUN_0000377c,0x0000377c,exports/mapping_SYS.BIN.md,mapping,Mapping for SYS.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""616""}"
FUN_000038d4,0x000038d4,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""76""}"
FUN_00003920,0x00003920,exports/mapping_PSX.EXE.md,mapping,Mapping for PSX.EXE / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""480""}"
FUN_00003a64,0x00003a64,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001ef54,,"{""degree"": ""3"", ""in"": ""0"", ""out"": ""3"", ""size"": ""280""}"
