crate_index,crate_label,slot,value_a,value_b,toy_present,toy_w00,toy_w01,toy_w02,toy_w03,toy_w04,toy_w05,vehicle_present,vehicle_w00,vehicle_w01,vehicle_w02,vehicle_w03,vehicle_w04,vehicle_w05,vehicle_w06,vehicle_w07,vehicle_w08,vehicle_w09,vehicle_w10,vehicle_w11,value_a_crossref_total,value_a_crossref_tables,value_a_domain,value_a_domain_hint,value_a_kind,value_a_slot_context,value_b_crossref_total,value_b_crossref_tables,value_b_domain,value_b_domain_hint,value_b_kind,value_b_slot_context,weapon_matches,weapon_index,weapon_match_kind,weapon_upgrade_id,weapon_projectile_index,weapon_range_a,weapon_range_b,weapon_cooldown,weapon_camera_kick,weapon_resource0,weapon_resource1,weapon_resource2,weapon_resource3,weapon_resource4,projectile_index,projectile_archetype_id,projectile_damage,projectile_burst_count,projectile_collision_mask,projectile_velocity_x,projectile_velocity_y,projectile_velocity_z,projectile_fuse_frames,projectile_spawn_interval,projectile_resource_a,projectile_resource_b,projectile_resource_c
6,JUNGLE_AREA,1,48,116,1,2,0,5,0,58,0,0,,,,,,,,,,,,,37,WEAPONS.BIN:12; ACTION.BIN:7; PERCEPT.BIN:6; BUDDIES.BIN:3; PROJECTILES.BIN:3; TOYS.BIN:3,combat,Combat runtime (libgte/libgpu),value_a,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,16,WEAPONS.BIN:11; ACTION.BIN:2; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,11,68,primary,117,53,243,1,60,0,256,3584,0,550,60,53,2,0,0,1638,66,0,0,1,1,240,76,2
6,JUNGLE_AREA,1,48,116,1,2,0,5,0,58,0,0,,,,,,,,,,,,,37,WEAPONS.BIN:12; ACTION.BIN:7; PERCEPT.BIN:6; BUDDIES.BIN:3; PROJECTILES.BIN:3; TOYS.BIN:3,combat,Combat runtime (libgte/libgpu),value_a,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,16,WEAPONS.BIN:11; ACTION.BIN:2; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,11,71,primary,117,57,243,1,55,0,256,3584,0,550,60,57,0,896,65506,3840,52,1,240,64,4,0,0,0
6,JUNGLE_AREA,1,48,116,1,2,0,5,0,58,0,0,,,,,,,,,,,,,37,WEAPONS.BIN:12; ACTION.BIN:7; PERCEPT.BIN:6; BUDDIES.BIN:3; PROJECTILES.BIN:3; TOYS.BIN:3,combat,Combat runtime (libgte/libgpu),value_a,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,16,WEAPONS.BIN:11; ACTION.BIN:2; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,11,72,primary,117,58,243,1,65,0,256,3584,0,550,60,58,0,3840,896,0,0,240,64,4,65535,0,0,4
6,JUNGLE_AREA,1,48,116,1,2,0,5,0,58,0,0,,,,,,,,,,,,,37,WEAPONS.BIN:12; ACTION.BIN:7; PERCEPT.BIN:6; BUDDIES.BIN:3; PROJECTILES.BIN:3; TOYS.BIN:3,combat,Combat runtime (libgte/libgpu),value_a,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,16,WEAPONS.BIN:11; ACTION.BIN:2; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,11,75,primary,117,54,243,1,50,0,256,3584,0,550,60,54,65535,0,1,3,0,0,1,75,1,65535,0,18
6,JUNGLE_AREA,1,48,116,1,2,0,5,0,58,0,0,,,,,,,,,,,,,37,WEAPONS.BIN:12; ACTION.BIN:7; PERCEPT.BIN:6; BUDDIES.BIN:3; PROJECTILES.BIN:3; TOYS.BIN:3,combat,Combat runtime (libgte/libgpu),value_a,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,16,WEAPONS.BIN:11; ACTION.BIN:2; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,3:WOODS_AREA:1 | 5:ORIENTAL_AREA:1 | 6:JUNGLE_AREA:1,11,76,primary,117,55,243,1,55,0,256,3584,0,550,60,55,0,0,0,65506,0,1,0,0,400,0,18,0
6,JUNGLE_AREA,2,28,104,1,3,0,1,0,2,0,0,,,,,,,,,,,,,35,PERCEPT.BIN:17; WEAPONS.BIN:8; VEHICLES.BIN:4; ACTION.BIN:2; TOYS.BIN:2; BUDDIES.BIN:1,ai,AI behaviour (libgte vectors),value_a,0:PARK_AREA:2 | 1:PLAINS_AREA:2 | 27:INDEX_27:2 | 2:DESERT_AREA:2 | 32:INDEX_32:2 | 33:INDEX_33:2 | 35:INDEX_35:2 | 36:INDEX_36:2 | 37:INDEX_37:2 | 38:INDEX_38:2 | 39:INDEX_39:2 | 40:INDEX_40:2 | 5:ORIENTAL_AREA:2 | 6:JUNGLE_AREA:2 | 7:MOON_AREA:2 | 8:INDEX_08:2 | 9:INDEX_09:2,28,BUDDIES.BIN:12; ACTION.BIN:7; PROJECTILES.BIN:7; PERCEPT.BIN:1; STATICS.BIN:1,ai,AI behaviour (libgte vectors),value_b,0:PARK_AREA:2 | 1:PLAINS_AREA:2 | 27:INDEX_27:2 | 2:DESERT_AREA:2 | 32:INDEX_32:2 | 33:INDEX_33:2 | 35:INDEX_35:2 | 36:INDEX_36:2 | 37:INDEX_37:2 | 38:INDEX_38:2 | 39:INDEX_39:2 | 40:INDEX_40:2 | 5:ORIENTAL_AREA:2 | 6:JUNGLE_AREA:2 | 7:MOON_AREA:2 | 8:INDEX_08:2 | 9:INDEX_09:2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,2,upgrade,117,2,243,1,40,0,256,3584,0,550,60,2,0,15,20,896,1,52,1,240,65535,17,0,40
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,51,upgrade,117,49,243,1,50,0,256,3584,0,550,60,49,100,0,0,0,0,0,0,2,68,0,1,100
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,58,upgrade,117,50,243,1,45,0,256,3584,0,550,60,50,1,0,0,0,0,0,2,100,0,1,1,1
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,62,upgrade,117,59,243,1,45,0,256,3584,0,550,60,59,44,3072,7168,495,200,-1,0,65535,0,4096,0,0
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,63,upgrade,117,60,243,1,55,0,256,3584,0,550,60,60,1,0,0,0,-1,0,-1,13,0,0,0,0
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,67,upgrade,117,52,243,1,50,0,256,3584,0,550,60,52,75,0,0,0,2,64,0,0,1,0,240,76
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,68,upgrade,117,53,243,1,60,0,256,3584,0,550,60,53,2,0,0,1638,66,0,0,1,1,240,76,2
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,71,upgrade,117,57,243,1,55,0,256,3584,0,550,60,57,0,896,65506,3840,52,1,240,64,4,0,0,0
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,72,upgrade,117,58,243,1,65,0,256,3584,0,550,60,58,0,3840,896,0,0,240,64,4,65535,0,0,4
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,75,upgrade,117,54,243,1,50,0,256,3584,0,550,60,54,65535,0,1,3,0,0,1,75,1,65535,0,18
6,JUNGLE_AREA,3,43,117,1,2,0,7,0,44,0,0,,,,,,,,,,,,,20,TOYS.BIN:6; PERCEPT.BIN:4; VEHICLES.BIN:4; ACTION.BIN:3; WEAPONS.BIN:2; ATTITUDE.BIN:1,support,Support systems (libspu/libpad),value_a,3:WOODS_AREA:3 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,26,WEAPONS.BIN:11; ACTION.BIN:8; BUDDIES.BIN:3; PERCEPT.BIN:3; ATTITUDE.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,14:ALL_HEAVY_WEAPONS_1:3 | 3:WOODS_AREA:3 | 4:ICE_AREA:1 | 5:ORIENTAL_AREA:3 | 6:JUNGLE_AREA:3,11,76,upgrade,117,55,243,1,55,0,256,3584,0,550,60,55,0,0,0,65506,0,1,0,0,400,0,18,0
6,JUNGLE_AREA,4,30,106,1,3,0,0,0,0,0,0,,,,,,,,,,,,,165,BUDDIES.BIN:61; VEHICLES.BIN:34; STATICS.BIN:22; PROJECTILES.BIN:14; ATTITUDE.BIN:11; PERCEPT.BIN:11,ai,AI behaviour (libgte vectors),value_a+value_b,0:PARK_AREA:4 | 10:ALL_FLAME_WEAPONS:2 | 11:LIGHTNING_WEAPONS:2 | 12:ALL_GRENADES_1:2 | 13:ALL_GRENADES_2:2 | 14:ALL_HEAVY_WEAPONS_1:2 | 14:ALL_HEAVY_WEAPONS_1:4 | 14:ALL_HEAVY_WEAPONS_1:5 | 16:ALL_ROCKET_WEAPONS:2 | 18:ALL_SPECIAL_WEAPONS:2 | 19:FLYING_1:2 | 1:PLAINS_AREA:4 | 20:FLYING_2:2 | 22:FLYING_4:2 | 24:STEALTH_2:2 | 25:SPACE:2 | 27:INDEX_27:4 | 2:DESERT_AREA:4 | 30:INDEX_30:2 | 32:INDEX_32:4 | 33:INDEX_33:4 | 35:INDEX_35:4 | 36:INDEX_36:4 | 37:INDEX_37:4 | 38:INDEX_38:4 | 39:INDEX_39:4 | 3:WOODS_AREA:2 | 40:INDEX_40:4 | 4:ICE_AREA:2 | 4:ICE_AREA:4 | 6:JUNGLE_AREA:4 | 8:INDEX_08:4,10,WEAPONS.BIN:5; ACTION.BIN:3; PROJECTILES.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_a+value_b,0:PARK_AREA:4 | 10:ALL_FLAME_WEAPONS:2 | 11:LIGHTNING_WEAPONS:2 | 12:ALL_GRENADES_1:2 | 13:ALL_GRENADES_2:2 | 14:ALL_HEAVY_WEAPONS_1:2 | 14:ALL_HEAVY_WEAPONS_1:4 | 16:ALL_ROCKET_WEAPONS:2 | 18:ALL_SPECIAL_WEAPONS:2 | 19:FLYING_1:2 | 1:PLAINS_AREA:4 | 20:FLYING_2:2 | 22:FLYING_4:2 | 22:FLYING_4:4 | 24:STEALTH_2:2 | 25:SPACE:2 | 27:INDEX_27:4 | 2:DESERT_AREA:4 | 30:INDEX_30:2 | 32:INDEX_32:4 | 33:INDEX_33:4 | 35:INDEX_35:4 | 36:INDEX_36:4 | 37:INDEX_37:4 | 38:INDEX_38:4 | 39:INDEX_39:4 | 3:WOODS_AREA:2 | 40:INDEX_40:4 | 6:JUNGLE_AREA:4 | 8:INDEX_08:4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JUNGLE_AREA,5,144,4,1,1,0,46,0,62,0,1,1,0,27,0,65535,65535,65535,65535,4095,0,2730,0,23,PERCEPT.BIN:19; ACTION.BIN:3; WEAPONS.BIN:1,ai,AI behaviour (libgte vectors),value_a+value_b,27:INDEX_27:5 | 2:DESERT_AREA:5 | 3:WOODS_AREA:5 | 5:ORIENTAL_AREA:5 | 6:JUNGLE_AREA:5,296,PERCEPT.BIN:75; ACTION.BIN:52; PROJECTILES.BIN:51; STATICS.BIN:46; VEHICLES.BIN:21; WEAPONS.BIN:19,render,Rendering & geometry (libgpu/libgte),value_b,5:ORIENTAL_AREA:5 | 6:JUNGLE_AREA:5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MOON_AREA,0,118,119,1,2,0,56,0,53,0,0,,,,,,,,,,,,,8,WEAPONS.BIN:4; ACTION.BIN:2; ATTITUDE.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_a,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,11,WEAPONS.BIN:5; ACTION.BIN:3; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,4,3,upgrade,119,13,243,1,75,63,256,4096,1870,550,90,13,495,0,0,1,0,1,0,5,65506,1536,0,0
7,MOON_AREA,0,118,119,1,2,0,56,0,53,0,0,,,,,,,,,,,,,8,WEAPONS.BIN:4; ACTION.BIN:2; ATTITUDE.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_a,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,11,WEAPONS.BIN:5; ACTION.BIN:3; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,4,64,upgrade,119,69,243,1,55,63,256,4608,1870,550,90,69,0,20,1,1,0,0,90,640,512,0,0,0
7,MOON_AREA,0,118,119,1,2,0,56,0,53,0,0,,,,,,,,,,,,,8,WEAPONS.BIN:4; ACTION.BIN:2; ATTITUDE.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_a,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,11,WEAPONS.BIN:5; ACTION.BIN:3; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,4,65,upgrade,119,70,243,1,60,63,256,4608,1870,550,90,70,0,0,85,0,0,120,640,512,0,0,0,0
7,MOON_AREA,0,118,119,1,2,0,56,0,53,0,0,,,,,,,,,,,,,8,WEAPONS.BIN:4; ACTION.BIN:2; ATTITUDE.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_a,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,11,WEAPONS.BIN:5; ACTION.BIN:3; ATTITUDE.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:0 | 7:MOON_AREA:0 | 8:INDEX_08:0 | 9:INDEX_09:0,4,73,upgrade,119,31,243,1,85,63,256,4096,1870,550,72,31,0,3840,640,0,0,300,-1,4,6,0,0,0
7,MOON_AREA,1,120,121,1,2,0,58,0,45,0,0,,,,,,,,,,,,,58,ATTITUDE.BIN:18; VEHICLES.BIN:17; WEAPONS.BIN:10; BUDDIES.BIN:6; PROJECTILES.BIN:4; PERCEPT.BIN:2,ai,AI behaviour (libgte vectors),value_a,10:ALL_FLAME_WEAPONS:1 | 7:MOON_AREA:1 | 8:INDEX_08:1 | 9:INDEX_09:1,14,PERCEPT.BIN:7; PROJECTILES.BIN:3; ACTION.BIN:2; BUDDIES.BIN:1; STATICS.BIN:1,ai,AI behaviour (libgte vectors),value_b,10:ALL_FLAME_WEAPONS:1 | 7:MOON_AREA:1 | 8:INDEX_08:1 | 9:INDEX_09:1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MOON_AREA,2,28,104,1,3,0,1,0,2,0,0,,,,,,,,,,,,,35,PERCEPT.BIN:17; WEAPONS.BIN:8; VEHICLES.BIN:4; ACTION.BIN:2; TOYS.BIN:2; BUDDIES.BIN:1,ai,AI behaviour (libgte vectors),value_a,0:PARK_AREA:2 | 1:PLAINS_AREA:2 | 27:INDEX_27:2 | 2:DESERT_AREA:2 | 32:INDEX_32:2 | 33:INDEX_33:2 | 35:INDEX_35:2 | 36:INDEX_36:2 | 37:INDEX_37:2 | 38:INDEX_38:2 | 39:INDEX_39:2 | 40:INDEX_40:2 | 5:ORIENTAL_AREA:2 | 6:JUNGLE_AREA:2 | 7:MOON_AREA:2 | 8:INDEX_08:2 | 9:INDEX_09:2,28,BUDDIES.BIN:12; ACTION.BIN:7; PROJECTILES.BIN:7; PERCEPT.BIN:1; STATICS.BIN:1,ai,AI behaviour (libgte vectors),value_b,0:PARK_AREA:2 | 1:PLAINS_AREA:2 | 27:INDEX_27:2 | 2:DESERT_AREA:2 | 32:INDEX_32:2 | 33:INDEX_33:2 | 35:INDEX_35:2 | 36:INDEX_36:2 | 37:INDEX_37:2 | 38:INDEX_38:2 | 39:INDEX_39:2 | 40:INDEX_40:2 | 5:ORIENTAL_AREA:2 | 6:JUNGLE_AREA:2 | 7:MOON_AREA:2 | 8:INDEX_08:2 | 9:INDEX_09:2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MOON_AREA,3,47,122,1,2,0,8,0,42,0,0,,,,,,,,,,,,,26,ACTION.BIN:10; BUDDIES.BIN:6; PERCEPT.BIN:3; STATICS.BIN:2; TOYS.BIN:2; WEAPONS.BIN:2,engine,Core state machines,value_a,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,6,WEAPONS.BIN:3; ACTION.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,3,4,primary,123,14,243,2,25,127,256,2048,1870,550,90,14,0,1,0,38,1,0,4,65506,128,0,0,0
7,MOON_AREA,3,47,122,1,2,0,8,0,42,0,0,,,,,,,,,,,,,26,ACTION.BIN:10; BUDDIES.BIN:6; PERCEPT.BIN:3; STATICS.BIN:2; TOYS.BIN:2; WEAPONS.BIN:2,engine,Core state machines,value_a,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,6,WEAPONS.BIN:3; ACTION.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,3,38,primary,123,14,243,1,35,95,256,2560,1870,550,60,14,0,1,0,38,1,0,4,65506,128,0,0,0
7,MOON_AREA,3,47,122,1,2,0,8,0,42,0,0,,,,,,,,,,,,,26,ACTION.BIN:10; BUDDIES.BIN:6; PERCEPT.BIN:3; STATICS.BIN:2; TOYS.BIN:2; WEAPONS.BIN:2,engine,Core state machines,value_a,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,6,WEAPONS.BIN:3; ACTION.BIN:1; PERCEPT.BIN:1; STATICS.BIN:1,combat,Combat runtime (libgte/libgpu),value_b,10:ALL_FLAME_WEAPONS:3 | 7:MOON_AREA:3 | 8:INDEX_08:3 | 9:INDEX_09:3,3,53,primary,123,14,243,4,35,127,256,2048,1870,550,90,14,0,1,0,38,1,0,4,65506,128,0,0,0
7,MOON_AREA,4,32,107,1,3,0,33,0,5,0,0,,,,,,,,,,,,,31,BUDDIES.BIN:10; PERCEPT.BIN:9; WEAPONS.BIN:4; ACTION.BIN:2; TOYS.BIN:2; ATTITUDE.BIN:1,ai,AI behaviour (libgte vectors),value_a,11:LIGHTNING_WEAPONS:4 | 15:ALL_HEAVY_WEAPONS_2:2 | 17:ALL_MISSILE_WEAPONS:4 | 19:FLYING_1:4 | 31:INDEX_31:2 | 34:INDEX_34:2 | 7:MOON_AREA:4 | 9:INDEX_09:4,10,STATICS.BIN:6; ACTION.BIN:2; PERCEPT.BIN:2,render,Rendering & geometry (libgpu/libgte),value_b,11:LIGHTNING_WEAPONS:4 | 15:ALL_HEAVY_WEAPONS_2:2 | 17:ALL_MISSILE_WEAPONS:4 | 19:FLYING_1:4 | 31:INDEX_31:2 | 34:INDEX_34:2 | 34:INDEX_34:4 | 7:MOON_AREA:4 | 9:INDEX_09:4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
