symbol,canonical_address_hex,observations,distinct_addresses,category_list,map_file_count,example_map_file
CDREADY,0x8002C96C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDREADYCALLBACK,0x8002C9A4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDRESET,0x8002C840,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDSEARCHFILE,0x8002E644,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDSETDEBUG,0x8002C8CC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDSTATUS,0x8002C800,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDSYNC,0x8002C94C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDSYNCCALLBACK,0x8002C98C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_CBREAD,0x8003BF6C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_CBREADY,0x8003BF68,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_CBSYNC,0x8003BF64,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_COM,0x8003BF85,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_COMSTR,0x8003BF88,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_CW,0x8002DA38,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_DATASYNC,0x8002E2E8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_DEBUG,0x8003BF70,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_FLUSH,0x8002DED8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_GETSECTOR,0x8002E454,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_INIT,0x8002E0FC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_INITINTR,0x8002E0AC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_INITVOL,0x8002DFB8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_INTSTR,0x8003C008,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_MODE,0x8003BF84,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_NOPEN,0x8003BF7C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_POS,0x8003BF80,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_READY,0x8002D76C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_SET_TEST_PARMNUM,0x8002E554,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_STATUS,0x8003BF74,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_STATUS1,0x8003BF78,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_SYNC,0x8002D4EC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_VOL,0x8002DE50,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CD_cbread,0x80127FB0,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_cbready,0x80127FAC,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_cbsync,0x80127FA8,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_com,0x80127FC9,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_comstr,0x80127FD0,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_cw,0x8011E0C8,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_datasync,0x8011E94C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_debug,0x80127FB4,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_flush,0x8011E55C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_getsector,0x8011EAB4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_getsector2,0x8011EBB4,4,6,audio;cdrom;graphics;module;ui,14,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/main.map
CD_init,0x8011E76C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_initintr,0x8011E720,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_initvol,0x8011E630,4,10,audio;cdrom;graphics;module;ui,22,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_intstr,0x80128050,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_mode,0x80127FC8,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_nopen,0x80127FC0,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_pos,0x80127FC4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_read,0x800124B0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CD_readm,0x8001259C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CD_ready,0x8011DE00,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_set_test_parmnum,0x8011ECA0,4,10,audio;cdrom;graphics;module;ui,22,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_status,0x80127FB8,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_status1,0x80127FBC,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_sync,0x8011DB80,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CD_vol,0x8011E4D4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CENTER_STRING,0x8001CCA8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CEXCEPTIONHANDLER,0x80025E7C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CF2_DVLC,0x80030998,2,6,audio;cdrom;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CF_DVLC,0x80020998,2,6,audio;cdrom;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CHANGECLEARPAD,0x80011A7C,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CHANGECLEARRCNT,0x80011A8C,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CHECKCALLBACK,0x80011058,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CLEARIMAGE,0x80012DC0,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CLEARIMAGE2,0x8001B79C,2,4,audio;io,8,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CLEAROTAG,0x80012FE0,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CLEAROTAGR,0x80013098,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CLEARSPU,0x8008CF30,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
CLIP2,0x801A40E8,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CLOSE,0x80027CCC,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
COMPARE_BUFFERS,0x8008C770,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CONFIRM_BUTTON_FLASH,0x800191B8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CON_DUMP,0x8008CD88,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CREATEHOTSPOTS,0x800105F0,2,1,graphics,2,assets/psyq_sdk/psyq/psx/sample/scee/graphics/flame/main.map
CREATE_ORDER,0x80025A58,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CREATE_TEST_DATA,0x8008C9C4,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CURRENTCH,0x8009E508,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
CURRENTKEYSTAT,0x8008C900,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
CalcTmdNormal,0x80102B00,4,3,graphics,8,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/main.map
CatPrim,0x80013834,4,14,audio;cdrom;graphics;module;ui,32,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
CdCallback,0x800148F4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CdComstr,0x8011CF70,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdControl,0x8011D040,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdControlB,0x8011D2B0,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdControlF,0x8011D17C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdDataCallback,0x8011D45C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdDataSync,0x8011D480,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdFlush,0x8011CF3C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdGetSector,0x8011D41C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdGetSector2,0x8011D43C,4,6,audio;cdrom;graphics;module;ui,14,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/main.map
CdInit,0x8001142C,2,9,audio;cdrom;module;ui,18,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdInitFileSystem,0x800118D0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CdIntToPos,0x8011D4A0,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdIntstr,0x8011CFA4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdLastCom,0x8011CEB4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdLastPos,0x8011CEC4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdMix,0x8011D3FC,4,10,audio;cdrom;graphics;module;ui,22,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdMode,0x8011CEA4,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdPosToInt,0x8011D5A4,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdRead,0x8011FDF4,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdRead2,0x8001A41C,2,5,audio;cdrom;module;ui,10,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdReadBreak,0x8011FD60,4,5,audio;cdrom;graphics;module;ui,12,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/main.map
CdReadCallback,0x8011FFBC,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdReadMode,0x8011FFD0,4,5,audio;cdrom;graphics;module;ui,12,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/main.map
CdReadSync,0x8011FEF4,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdReady,0x8011CFF8,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdReadyCallback,0x8011D02C,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdReset,0x8011CED0,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdSearchFile,0x8011EDE4,4,8,audio;cdrom;graphics;module;ui,18,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdSetDebug,0x8011CF5C,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdStatus,0x8011CE94,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdSync,0x8011CFD8,4,11,audio;cdrom;graphics;module;ui,24,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CdSyncCallback,0x8011D018,4,12,audio;cdrom;graphics;module;ui,26,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
Cd__DataCallback,0x800146A0,2,1,unknown,2,assets/psyq_sdk/psyq/psx/sample/scee/demodisc/demo/bs/bs.map
ChangeClearPAD,0x8001712C,4,19,audio;cdrom;graphics;module;ui,42,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
ChangeClearRCnt,0x80017320,4,19,audio;cdrom;graphics;module;ui,42,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
CheckCallback,0x80017484,4,19,audio;cdrom;graphics;module;ui,42,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
CheckControllers,0x8001A130,2,1,cdrom,2,assets/psyq_sdk/psyq/psx/sample/scee/cd/movie2/main.map
ClearImage,0x80014470,4,17,audio;cdrom;graphics;module;ui,38,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
ClearImage2,0x80104984,4,14,audio;cdrom;graphics;module;ui,30,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
ClearOTag,0x80014690,4,15,audio;cdrom;graphics;module;ui,34,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
ClearOTagR,0x80014748,4,15,audio;cdrom;graphics;module;ui,34,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
ClearVram,0x80010760,2,2,unknown,4,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CloseEvent,0x800190FC,2,4,audio;cdrom,8,assets/psyq_sdk/psyq/addons/sound/stream/tuto1.map
ColorCol,0x80116224,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
ColorDpq,0x801161FC,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CurrentApp,0x800152B4,2,2,unknown,4,assets/psyq_sdk/psyq/opm/launcher/launch.map
CurrentPos,0x80014F48,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/demodisc/demo/bs/bs.map
CurrentTmd,0x80066468,2,2,module;ui,4,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
DATA_READY_CALLBACK,0x8002F764,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DAVE_COPY,0x8001F040,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DAVE_TEXT,0x8001C9A0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DAVE_TEXT2,0x8001CBE0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DAVE_TEXT3,0x8001CC44,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DB,0x80022738,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
DCC_DVLC,0x80020598,2,6,audio;cdrom;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
DCL_DVLC,0x80020198,2,6,audio;cdrom;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
DEBUG_CAUSE,0x8003C370,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTBUFSIZE,0x8003077C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTGETENV,0x80030654,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTIN,0x80030788,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTINCALLBACK,0x8003089C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTINSYNC,0x80030824,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTOUT,0x80030804,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTOUTCALLBACK,0x800308C0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTOUTSYNC,0x80030860,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTPUTENV,0x800306E0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTRESET,0x8003061C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTVLC,0x80030DB0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DECDCTVLCSIZE,0x80030D80,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_CONFIRM,0x80018B28,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_ERROR,0x800197C4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_FILE,0x80017FA0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_OPTION,0x80015EE4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_OPTION_MESSAGE,0x8001715C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
DELETE_ROUTINE,0x80013EF8,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
DELIVEREVENT,0x8002C7F0,2,3,audio;io,6,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
